radarquery17,--
radarquery40,--
radarquery56,--
radarquery83,--
radarquery76,--
radarquery21,--
surveyunbias12,--
radarquery37,--
radarquery60,--
radarquery61,--
radarquery36,--
surveyunbias13,--
radarquery20,--
radarquery77,--
radarquery82,--
radarquery57,--
radarquery41,--
radarquery70,--
radarquery27,--
surveyunbias14,--
radarquery31,--
radarquery66,--
radarquery46,--
radarquery50,--
surveyunbias6,--
surveyunbias18,--
coinbias7,--
coinbias6,--
radarquery84,--
surveyunbias19,--
surveyunbias7,--
radarquery51,--
radarquery47,--
radarquery67,--
radarquery30,--
surveyunbias15,--
radarquery26,--
radarquery71,--
radarquery64,--
coinbias9,--
radarquery33,--
surveyunbias16,--
radarquery25,--
surveyunbias8,--
radarquery72,--
radarquery48,--
radarquery68,--
coinbias5,--
surveyunbias4,--
radarquery29,--
radarquery52,--
radarquery44,--
radarquery45,--
radarquery53,--
radarquery28,--
surveyunbias5,--
radarquery69,--
coinbias4,--
radarquery49,--
radarquery73,--
surveyunbias9,--
radarquery24,--
surveyunbias17,--
radarquery32,4.216559,5.95383,2042,8
radarquery,--
radarquery65,--
coinbias8,--
coinbias3,--
radarquery81,--
radarquery39,--
radarquery78,--
radarquery54,--
radarquery42,--
radarquery62,--
radarquery35,--
surveyunbias10,--
radarquery23,--
radarquery74,--
radarquery58,--
radarquery19,--
radarquery18,--
radarquery59,--
radarquery75,--
radarquery22,--
surveyunbias11,--
radarquery34,--
radarquery63,--
radarquery43,--
radarquery55,--
radarquery79,--
radarquery38,--
coinbias2,--
radarquery80,--
