model,time,value,c,#vars,time,value
timeseries9,46.552,3.21674,2,13,to,
timeseries5,1.076,2.87916,2,9,to,
timeseries4,0.388,2.36094,2,8,to,
timeseries8,22.496,3.24248,2,12,to,
timeseries10,103.240,3.18213,2,14,to,
timeseries3,0.109,1.99895,2,7,352.4741973876953,2.01821
timeseries2,0.047,2.04783,2,6,to,
timeseries1,0.019,0.99768,2,5,116.20472311973572,0.997647
timeseries7,9.826,3.94455,2,11,to,
timeseries6,3.397,2.77245,2,10,to,
